state_ansi,county_ansi,year,colonies
40,29,2002,114
40,35,2002,7
40,37,2002,53
40,39,2002,5
40,41,2002,144
40,49,2002,100
40,51,2002,1096
40,55,2002,23
40,61,2002,38
40,69,2002,17
40,77,2002,11
40,79,2002,132
40,81,2002,58
40,83,2002,514
40,87,2002,289
40,97,2002,33
40,101,2002,15
40,105,2002,10
40,109,2002,241
40,111,2002,21
40,113,2002,35
40,115,2002,41
40,117,2002,19
40,119,2002,33
40,121,2002,54
40,123,2002,22
40,125,2002,88
40,131,2002,189
40,143,2002,33
40,145,2002,15
40,151,2002,146
41,0,2002,47563
41,3,2002,3803
41,5,2002,8738
41,7,2002,23
41,9,2002,139
41,11,2002,274
41,13,2002,10
41,15,2002,8
41,17,2002,23
41,19,2002,712
41,25,2002,46
41,29,2002,5671
41,33,2002,605
41,35,2002,683
41,39,2002,4070
41,41,2002,27
41,47,2002,2828
41,51,2002,836
41,53,2002,867
41,57,2002,6
41,59,2002,4937
41,61,2002,296
41,65,2002,972
41,67,2002,1373
41,71,2002,2790
42,0,2002,38481
42,1,2002,2481
42,3,2002,662
42,5,2002,57
